Ticker,Name,Exchange,Category,Country,SE_Name
BMH.AX,Baumart Holdings Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
BRK.AX,Brookside Energy Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
MTU.AX,M2 Group Ltd,ASX,Other Category,Australia,Australia Stock Exchange
MPX.AX,Mustera Property Group Limited,ASX,Property Management,Australia,Australia Stock Exchange
GPH.AX,Australian Potash Limited,ASX,Other Category,Australia,Australia Stock Exchange
PRA.AX,Thred Limited,ASX,Other Category,Australia,Australia Stock Exchange
ICG.AX,Inca Minerals Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
DLS.AX,"Drillsearch Energy, Ltd.",ASX,Other Category,Australia,Australia Stock Exchange
CLA.AX,Celsius Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
OXXCB.AX,Octanex N.L.,ASX,Other Category,Australia,Australia Stock Exchange
CBS.AX,Cabral Resources Limited,ASX,Other Category,Australia,Australia Stock Exchange
VELCP.AX,Vealls Limited,ASX,Asset Management,Australia,Australia Stock Exchange
ORG.AX,Origin Energy Limited,ASX,Major Integrated Oil & Gas,Australia,Australia Stock Exchange
ANZ.AX,Australia and New Zealand Banking Group Limited,ASX,Money Center Banks,Australia,Australia Stock Exchange
XRF.AX,XRF Scientific Limited,ASX,Diversified Machinery,Australia,Australia Stock Exchange
WOW.AX,Woolworths Limited,ASX,Grocery Stores,Australia,Australia Stock Exchange
WAT.AX,Waterco Limited,ASX,Electronic Equipment,Australia,Australia Stock Exchange
QBE.AX,QBE Insurance Group Limited,ASX,Property & Casualty Insurance,Australia,Australia Stock Exchange
MDG.AX,Medtech Global Limited,ASX,Other Category,Australia,Australia Stock Exchange
VTX.AX,Wangle Technologies Limited,ASX,Other Category,Australia,Australia Stock Exchange
BXB.AX,Brambles Limited,ASX,Business Services,Australia,Australia Stock Exchange
BHP.AX,BHP Billiton Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
